Country Name,Country Code,Custom_Series_Name,Custom_Series_Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
St. Vincent and the Grenadines,VCT,Net migration rate,(Net migration rate),..,..,-0.112401936638754,..,..,..,..,-0.110575663328662,..,..,..,..,-0.0913168960038049,..,..,..,..,-0.0741650546053776,..,..,..,..,-0.0718784227820372,..,..,..,..,-0.0678242970181104,..,..,..,..,-0.0807874015748031,..,..,..,..,-0.0738773807868761,..,..,..,..,-0.0490115359353174,..,..,..,..,-0.0524889880019905,..,..,..,..,-0.0270576843270162,..,..,..,..,-0.00910522913309113,..,..
Sudan,SDN,Net migration rate,(Net migration rate),..,..,0,..,..,..,..,0,..,..,..,..,0.00182256846750622,..,..,..,..,0.0138093731119998,..,..,..,..,0.0141367583154614,..,..,..,..,0.0081951830353155,..,..,..,..,0.0297659816141448,..,..,..,..,-0.0237145261787075,..,..,..,..,-0.0190213977617245,..,..,..,..,-0.030366753468668,..,..,..,..,-0.0148684374882836,..,..,..,..,-0.00612546429608553,..,..
Suriname,SUR,Net migration rate,(Net migration rate),..,..,-0.0363612431925501,..,..,..,..,-0.0398722890180061,..,..,..,..,-0.154441203891201,..,..,..,..,-0.112822548852399,..,..,..,..,-0.0880278177989582,..,..,..,..,-0.0127153006138511,..,..,..,..,-0.0123497878308828,..,..,..,..,-0.0224347753329766,..,..,..,..,-0.0189202359845304,..,..,..,..,-0.0126863087634321,..,..,..,..,-0.0092379606278118,..,..,..,..,-0.00876255048238726,..,..
Sweden,SWE,Net migration rate,(Net migration rate),..,..,0.0106262070877176,..,..,..,..,0.0166473244363734,..,..,..,..,0.002314369082649,..,..,..,..,0.0107333903731909,..,..,..,..,0.00357934638221039,..,..,..,..,0.0160243082596355,..,..,..,..,0.018050160433693,..,..,..,..,0.0066097208000577,..,..,..,..,0.0158794024576922,..,..,..,..,0.0286893704173504,..,..,..,..,0.0266780147518104,..,..,..,..,0.0198852659922778,..,..
Switzerland,CHE,Net migration rate,(Net migration rate),..,..,0.0497239323515402,..,..,..,..,0.0155175794859128,..,..,..,..,0.00402254863314804,..,..,..,..,-0.0215509075214283,..,..,..,..,0.0126797186617014,..,..,..,..,0.0199931062995771,..,..,..,..,0.0359844220611447,..,..,..,..,0.00920000914104377,..,..,..,..,0.0255499397165559,..,..,..,..,0.0456716536109823,..,..,..,..,0.0496778673532027,..,..,..,..,0.0307624138649099,..,..
Syrian Arab Republic,SYR,Net migration rate,(Net migration rate),..,..,-0.00328176719881889,..,..,..,..,-0.00278711169872716,..,..,..,..,-0.0119851926599757,..,..,..,..,-0.0200569457868715,..,..,..,..,-0.00907183948826237,..,..,..,..,-0.012895247645159,..,..,..,..,-0.00530799126425963,..,..,..,..,-0.00856654319422409,..,..,..,..,-0.0222369437047283,..,..,..,..,0.0186133047701272,..,..,..,..,-0.263518414858505,..,..,..,..,-0.125202352331573,..,..
Tajikistan,TJK,Net migration rate,(Net migration rate),..,..,0.0238476348200417,..,..,..,..,0.0247083954830739,..,..,..,..,0.00901011223026392,..,..,..,..,0.00635714614326163,..,..,..,..,0.00299906166106521,..,..,..,..,-0.00650453901546696,..,..,..,..,-0.0422174017818102,..,..,..,..,-0.0399526472175609,..,..,..,..,-0.0225520459657871,..,..,..,..,-0.0206420459565445,..,..,..,..,-0.0173938882528967,..,..,..,..,-0.0112608087954102,..,..
Tanzania,TZA,Net migration rate,(Net migration rate),..,..,0.00235074064289752,..,..,..,..,0.00292010431651151,..,..,..,..,0.00833096530855247,..,..,..,..,-0.00148119982391231,..,..,..,..,0.00177769241915738,..,..,..,..,0.00296532179424671,..,..,..,..,0.0216642829322452,..,..,..,..,-0.0128460820373075,..,..,..,..,-0.00850501777455124,..,..,..,..,-0.0123115927091423,..,..,..,..,-0.00532246110465461,..,..,..,..,-0.00366569121496733,..,..
Thailand,THA,Net migration rate,(Net migration rate),..,..,0,..,..,..,..,0,..,..,..,..,0.0101276535671283,..,..,..,..,0.00646819395907355,..,..,..,..,0.006901163109394,..,..,..,..,0.00935018560545892,..,..,..,..,-0.0105090342549044,..,..,..,..,0.0117645392143802,..,..,..,..,0.00583348409506756,..,..,..,..,0.000891601043527395,..,..,..,..,0.00246645005686291,..,..,..,..,0.00140474208168438,..,..
Timor-Leste,TLS,Net migration rate,(Net migration rate),..,..,0,..,..,..,..,0,..,..,..,..,0,..,..,..,..,-0.0829278366482956,..,..,..,..,0,..,..,..,..,0,..,..,..,..,0,..,..,..,..,-0.0946481239543038,..,..,..,..,-0.0302050300533004,..,..,..,..,-0.0367370647399826,..,..,..,..,-0.0247397603164712,..,..,..,..,-0.0216559515660831,..,..
Togo,TGO,Net migration rate,(Net migration rate),..,..,-0.048293138139395,..,..,..,..,0.074873264699193,..,..,..,..,-0.0222456844733585,..,..,..,..,-0.0397068522511998,..,..,..,..,0.0171493541682387,..,..,..,..,-0.00576080171925366,..,..,..,..,-0.029524025540402,..,..,..,..,0.0178334538206057,..,..,..,..,-0.00634977932592667,..,..,..,..,-0.0017900941480069,..,..,..,..,-0.00147538895040854,..,..,..,..,-0.00129882866411854,..,..
Tonga,TON,Net migration rate,(Net migration rate),..,..,0.00640144938476636,..,..,..,..,-0.0364549722253856,..,..,..,..,-0.0867092200224737,..,..,..,..,-0.0865707354358446,..,..,..,..,-0.132153650644483,..,..,..,..,-0.114354173513852,..,..,..,..,-0.115095546074906,..,..,..,..,-0.0873016694438982,..,..,..,..,-0.0791238310678435,..,..,..,..,-0.0756572854622201,..,..,..,..,-0.126458822040745,..,..,..,..,-0.0392066511108061,..,..
Trinidad and Tobago,TTO,Net migration rate,(Net migration rate),..,..,-0.0645830703822087,..,..,..,..,-0.0662631655741514,..,..,..,..,-0.0298470462827537,..,..,..,..,-0.0288074040715465,..,..,..,..,-0.0300610703380297,..,..,..,..,-0.0379953471668197,..,..,..,..,-0.0265330727437832,..,..,..,..,-0.0271953442002527,..,..,..,..,-0.0136938787813779,..,..,..,..,-0.0142191033519788,..,..,..,..,-0.00297363879248998,..,..,..,..,-0.00288930055661844,..,..
Tunisia,TUN,Net migration rate,(Net migration rate),..,..,-0.0330961860010531,..,..,..,..,-0.0203613070405279,..,..,..,..,-0.018344131484324,..,..,..,..,-0.0121737206216591,..,..,..,..,0.0126966295968759,..,..,..,..,0.0063628982995911,..,..,..,..,0.016292461649892,..,..,..,..,-0.00423666619372626,..,..,..,..,-0.014491071091192,..,..,..,..,-0.00394391854766444,..,..,..,..,-0.0138287058488604,..,..,..,..,-0.00174925435846403,..,..
Turkey,TUR,Net migration rate,(Net migration rate),..,..,-0.00520236881385235,..,..,..,..,-0.0055422453457098,..,..,..,..,-0.00655966020522826,..,..,..,..,-0.00632470861052697,..,..,..,..,-0.00152092069313623,..,..,..,..,-0.00195693134629033,..,..,..,..,-0.00215250698542329,..,..,..,..,-0.00165636485762872,..,..,..,..,-0.000613980730202963,..,..,..,..,-0.000718578213099485,..,..,..,..,0.023616969473812,..,..,..,..,0.017504030608805,..,..
Turkmenistan,TKM,Net migration rate,(Net migration rate),..,..,0.0156131952281906,..,..,..,..,0.0139912037396037,..,..,..,..,0.0109061258210468,..,..,..,..,-0.00190296885661974,..,..,..,..,-0.0118563158274778,..,..,..,..,-0.011651969391789,..,..,..,..,0.0111883991227339,..,..,..,..,-0.0148501210989558,..,..,..,..,-0.0273064779756204,..,..,..,..,-0.0128778612364611,..,..,..,..,-0.00949182786309535,..,..,..,..,-0.0043422086264424,..,..
Turks and Caicos Islands,TCA,Net migration rate,(Net migration rate),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Tuvalu,TUV,Net migration rate,(Net migration rate),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Uganda,UGA,Net migration rate,(Net migration rate),..,..,0.0173229675561781,..,..,..,..,0.00584811804487791,..,..,..,..,-0.0278068601910483,..,..,..,..,-0.0158329752568805,..,..,..,..,-0.00907586459558171,..,..,..,..,0.0128101678922245,..,..,..,..,0.00592608188248538,..,..,..,..,-0.00831210767864899,..,..,..,..,-0.00993362129214161,..,..,..,..,-0.016957005647836,..,..,..,..,-0.0086805909216333,..,..,..,..,0.0204912169375668,..,..
Ukraine,UKR,Net migration rate,(Net migration rate),..,..,0.0104170461711323,..,..,..,..,0.00583474089136784,..,..,..,..,0.00431540460881437,..,..,..,..,0.00211785523631759,..,..,..,..,0.00375301683073992,..,..,..,..,0,..,..,..,..,0.00142704928868436,..,..,..,..,-0.00913671661945596,..,..,..,..,-0.00343229085628339,..,..,..,..,0.00579541533046581,..,..,..,..,0.00289853991704922,..,..,..,..,0.00111531862844873,..,..
United Arab Emirates,ARE,Net migration rate,(Net migration rate),..,..,0.337876166182058,..,..,..,..,0.317032944378015,..,..,..,..,0.787034631119061,..,..,..,..,0.50647044104528,..,..,..,..,0.158102722685151,..,..,..,..,0.167350489326628,..,..,..,..,0.179320772510572,..,..,..,..,0.186569248196238,..,..,..,..,0.341963856838193,..,..,..,..,0.582352138279527,..,..,..,..,0.0295353240287582,..,..,..,..,0.021081028834315,..,..
